longitude,latitude,objectid,inckey,coldetkey,reportno,status,addrtype,intkey,location,exceptrsncode,exceptrsndesc,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,sdotcolnum,speeding,st_colcode,st_coldesc,seglanekey,crosswalkkey,hitparkedcar,seriousinjuries
-122.328913101671,47.6134658203127,198409,278338,279238,E780814,Matched,Intersection,29878.0,BOREN AVE AND PIKE ST, ,,1,Property Damage Only Collision,Right Turn,2,0,0,2,0,0,2018-03-15 00:00:00+00,3/15/2018 2:36:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Daylight,,,,16.0,From same direction - one right turn - one straight,0,0,False,0
-122.297400774944,47.7156139858331,198410,269622,270422,E766672,Matched,Intersection,36622.0,LAKE CITY WAY NE AND NE 120TH ST, ,,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,2018-02-06 00:00:00+00,2/6/2018 6:40:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Unknown,Dry,Dark - Street Lights On,,,,28.0,From opposite direction - one left turn - one straight,0,0,False,0
-122.329103765733,47.5715499361932,198411,277933,278833,E779314,Matched,Block,,4TH AVE S BETWEEN S SPOKANE NR ST AND S SPOKANE SR ST, ,,2,Injury Collision,Sideswipe,3,0,0,2,1,0,2018-03-15 00:00:00+00,3/15/2018 11:18:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Daylight,,,,11.0,From same direction - both going straight - both moving - sideswipe,0,0,False,0
-122.296254307144,47.6079966236585,198412,278853,279753,E782636,Matched,Intersection,30071.0,M L KING JR WAY AND E CHERRY ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,2018-03-21 00:00:00+00,3/21/2018 12:43:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Clear or Partly Cloudy,Dry,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.319419325999,47.5424263001807,198413,269621,270421,3818687,Matched,Block,,ELLIS AVE S BETWEEN S WARSAW ST AND S WILLOW ST, ,,1,Property Damage Only Collision,Head On,3,0,0,2,0,0,2018-02-07 00:00:00+00,2/7/2018 3:42:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Daylight,,,,30.0,From opposite direction - all others,0,0,False,0
-122.360970694412,47.5714589434273,198414,277931,278831,E779312,Matched,Block,,WEST SEATTLE BR EB BETWEEN DELRIDGE-W SEATTLE BR EB ON RP AND 26TH AV SW ON RP, ,,1,Property Damage Only Collision,Rear Ended,3,0,0,3,0,0,2018-03-15 00:00:00+00,3/15/2018 7:46:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",True,False,Clear or Partly Cloudy,Dry,Daylight,,,,13.0,From same direction - both going straight - both moving - rear-end,0,0,False,0
-122.333060580263,47.6249435942391,198415,277930,278830,E779311,Matched,Block,,MERCER ST OFF RP BETWEEN I5 NB MERCER ST OFF RP AND FAIRVIEW AVE N, ,,1,Property Damage Only Collision,Sideswipe,4,0,0,2,0,0,2018-03-12 00:00:00+00,3/12/2018 6:39:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",True,False,Clear or Partly Cloudy,Dry,Dawn,,,,11.0,From same direction - both going straight - both moving - sideswipe,0,0,False,0
-122.341920895488,47.6985241748583,198416,272997,273837,E773386,Matched,Intersection,37316.0,STONE AVE N AND N 96TH ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,2018-02-26 00:00:00+00,2/26/2018 7:51:00 AM,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,True,False,Clear or Partly Cloudy,Ice,Daylight,,,,2.0,Vehicle turning left hits pedestrian,0,0,False,0
-122.348588984319,47.6527275038429,198417,272980,273820,E773385,Matched,Intersection,27018.0,FREMONT WAY N AND N 38TH ST, ,,1,Property Damage Only Collision,Left Turn,3,0,0,2,0,0,2018-02-25 00:00:00+00,2/25/2018 5:01:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Sleet/Hail/Freezing Rain,Wet,Dark - Street Lights On,,,,28.0,From opposite direction - one left turn - one straight,0,0,False,0
-122.347779547649,47.732314179686,198418,269620,270420,3762860,Matched,Intersection,35784.0,LINDEN AVE N AND N 143RD ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,2018-02-06 00:00:00+00,2/6/2018 4:22:00 PM,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,False,Raining,Wet,Daylight,True,,,0.0,Vehicle going straight hits pedestrian,0,0,False,0
-122.304156976144,47.5579962564272,198420,282260,283120,E787826,Matched,Intersection,33323.0,BEACON WR AVE S AND S FERDINAND N ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,2018-04-11 00:00:00+00,4/11/2018 12:12:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Raining,Wet,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.328665722754,47.6098362678392,198421,283419,284299,E790086,Matched,Intersection,29917.0,9TH AVE AND SENECA ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,2018-04-06 00:00:00+00,4/6/2018 9:32:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,32.0,One parked--one moving,0,0,False,0
-122.337335801567,47.5907320849333,198422,281548,282408,E784924,Matched,Intersection,30385.0,ALASKAN WAY S AND S ATLANTIC ST, ,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,2018-03-21 00:00:00+00,3/21/2018 9:52:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Daylight,,,,12.0,From same direction - both going straight - one stopped - sideswipe,0,0,False,0
-122.323304194712,47.7095811866782,198423,282218,283078,E787377,Matched,Intersection,36535.0,5TH AVE NE AND NE 112TH S ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,2018-04-09 00:00:00+00,4/9/2018 11:14:00 AM,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,False,Clear or Partly Cloudy,Dry,Daylight,,,,1.0,Vehicle turning right hits pedestrian,0,524547,False,0
-122.316733390752,47.6128892357701,198424,283418,284298,E790083,Matched,Intersection,29761.0,12TH AVE AND E MADISON ST, ,,1,Property Damage Only Collision,Other,2,0,0,2,0,0,2018-04-13 00:00:00+00,4/13/2018 10:25:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Raining,Wet,Dark - Street Lights On,,,,23.0,From same direction - all others,0,0,False,0
-122.293204532914,47.5426476024616,198425,281547,282407,E784679,Matched,Block,,S HOLLY ST BETWEEN 30TH AVE S AND 31ST AVE S, ,,2,Injury Collision,Head On,6,0,0,2,1,0,2018-03-31 00:00:00+00,3/31/2018 12:09:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Clear or Partly Cloudy,Dry,Daylight,,,,25.0,From opposite direction - one stopped - head-on,0,0,False,0
-122.306094176917,47.5454098305527,198427,281553,282413,E785074,Matched,Intersection,34378.0,SWIFT AVE S AND S EDDY ST, ,,2,Injury Collision,Angles,2,0,0,2,1,0,2018-03-27 00:00:00+00,3/27/2018 6:43:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Clear or Partly Cloudy,Dry,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.298061791528,47.5876070445088,198428,281546,282406,E784678,Matched,Block,,M L KING JR WAY S BETWEEN S MASSACHUSETTS ST AND S GRAND ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,2018-03-26 00:00:00+00,3/26/2018 4:13:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,False,Overcast,Dry,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.313640092782,47.6225253990159,198429,283417,284297,E790078,Matched,Block,,MALDEN AVE E BETWEEN E HARRISON ST AND E REPUBLICAN ST, ,,1,Property Damage Only Collision,Pedestrian,5,0,1,1,0,0,2018-04-02 00:00:00+00,4/2/2018 8:55:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,5.0,Vehicle Strikes Pedalcyclist,0,0,False,0
-122.303650196444,47.6184201492441,198430,282258,283118,E787484,Matched,Intersection,29392.0,22ND AVE E AND E MADISON ST, ,,2,Injury Collision,Left Turn,4,0,0,2,1,0,2018-04-04 00:00:00+00,4/4/2018 6:26:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Overcast,Wet,Daylight,,,,28.0,From opposite direction - one left turn - one straight,0,0,False,0
-122.311826314712,47.596264028765,198431,283397,284277,E789621,Matched,Block,,RAINIER AVE S BETWEEN S LANE ST AND S DEARBORN ST, ,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,2018-04-13 00:00:00+00,4/13/2018 9:17:00 AM,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Overcast,Wet,Daylight,,,,11.0,From same direction - both going straight - both moving - sideswipe,0,0,False,0
